timestamp,worker_id,gpu_id,util_percent,memory_used_mb,memory_total_mb,temp_c,power_w
2026-06-08T15:16:42.854819+00:00,scheduler,0,0,494.9,24564.0,41,13.497
2026-06-08T15:16:47.863993+00:00,scheduler,0,0,494.9,24564.0,41,13.496
2026-06-08T15:16:52.869347+00:00,scheduler,0,11,16176.2,24564.0,43,72.234
2026-06-08T15:16:57.869889+00:00,scheduler,0,0,16176.2,24564.0,43,70.983
2026-06-08T15:17:02.870453+00:00,scheduler,0,0,16176.2,24564.0,43,71.129
2026-06-08T15:17:07.871051+00:00,scheduler,0,0,16176.2,24564.0,43,70.837
2026-06-08T15:17:12.871563+00:00,scheduler,0,0,16176.2,24564.0,42,17.069
2026-06-08T15:17:17.982027+00:00,scheduler,0,0,17210.2,24564.0,47,333.564
2026-06-08T15:17:22.982643+00:00,scheduler,0,0,16280.2,24564.0,45,71.377
2026-06-08T15:17:27.983152+00:00,scheduler,0,0,16280.2,24564.0,44,71.525
2026-06-08T15:17:32.983757+00:00,scheduler,0,0,16280.2,24564.0,44,71.603
2026-06-08T15:17:37.984327+00:00,scheduler,0,0,16280.2,24564.0,43,14.624
2026-06-08T15:17:42.984809+00:00,scheduler,0,0,16280.2,24564.0,43,13.532
2026-06-08T15:17:47.985498+00:00,scheduler,0,0,16280.2,24564.0,43,13.656
2026-06-08T15:17:52.986169+00:00,scheduler,0,0,16280.2,24564.0,43,13.659
2026-06-08T15:17:57.986920+00:00,scheduler,0,0,16280.2,24564.0,42,13.504
2026-06-08T15:18:02.987950+00:00,scheduler,0,0,16280.2,24564.0,42,13.487
2026-06-08T15:18:07.988591+00:00,scheduler,0,0,16280.2,24564.0,42,13.382
2026-06-08T15:18:12.989101+00:00,scheduler,0,0,16280.2,24564.0,42,13.244
2026-06-08T15:18:17.989701+00:00,scheduler,0,0,16280.2,24564.0,42,13.268
2026-06-08T15:18:22.990314+00:00,scheduler,0,100,16882.2,24564.0,60,451.044
2026-06-08T15:18:27.990952+00:00,scheduler,0,100,16882.2,24564.0,64,449.966
2026-06-08T15:18:32.991870+00:00,scheduler,0,100,16882.2,24564.0,66,448.838
2026-06-08T15:18:37.992371+00:00,scheduler,0,100,18360.2,24564.0,67,404.615
