timestamp,worker_id,gpu_id,util_percent,memory_used_mb,memory_total_mb,temp_c,power_w
2026-05-22T06:13:48.618122+00:00,scheduler,0,3,621.9,10240.0,34,39.914
2026-05-22T06:13:48.618122+00:00,scheduler,1,0,376.8,10240.0,35,26.787
2026-05-22T06:13:48.618122+00:00,scheduler,2,0,400.8,10240.0,33,26.26
2026-05-22T06:13:48.618122+00:00,scheduler,3,0,400.8,10240.0,34,32.582
2026-05-22T06:13:53.697548+00:00,scheduler,0,0,621.9,10240.0,35,102.912
2026-05-22T06:13:53.697548+00:00,scheduler,1,0,376.8,10240.0,35,26.418
2026-05-22T06:13:53.697548+00:00,scheduler,2,0,400.8,10240.0,33,25.584
2026-05-22T06:13:53.697548+00:00,scheduler,3,0,400.8,10240.0,33,31.701
2026-05-22T06:13:58.698643+00:00,scheduler,0,0,621.9,10240.0,36,103.039
2026-05-22T06:13:58.698643+00:00,scheduler,1,0,376.8,10240.0,35,26.45
2026-05-22T06:13:58.698643+00:00,scheduler,2,0,400.8,10240.0,33,25.722
2026-05-22T06:13:58.698643+00:00,scheduler,3,0,400.8,10240.0,33,31.85
2026-05-22T06:14:03.699332+00:00,scheduler,0,0,621.9,10240.0,36,103.148
2026-05-22T06:14:03.699332+00:00,scheduler,1,0,376.8,10240.0,35,26.476
2026-05-22T06:14:03.699332+00:00,scheduler,2,0,400.8,10240.0,33,25.628
2026-05-22T06:14:03.699332+00:00,scheduler,3,0,400.8,10240.0,33,31.797
2026-05-22T06:14:08.700412+00:00,scheduler,0,0,621.9,10240.0,34,34.507
2026-05-22T06:14:08.700412+00:00,scheduler,1,0,376.8,10240.0,35,26.216
2026-05-22T06:14:08.700412+00:00,scheduler,2,0,400.8,10240.0,33,25.689
2026-05-22T06:14:08.700412+00:00,scheduler,3,0,400.8,10240.0,33,31.823
2026-05-22T06:14:13.701077+00:00,scheduler,0,0,621.9,10240.0,33,33.41
2026-05-22T06:14:13.701077+00:00,scheduler,1,0,376.8,10240.0,35,26.413
2026-05-22T06:14:13.701077+00:00,scheduler,2,0,400.8,10240.0,33,25.792
2026-05-22T06:14:13.701077+00:00,scheduler,3,0,400.8,10240.0,33,31.825
2026-05-22T06:14:18.701727+00:00,scheduler,0,0,621.9,10240.0,33,33.538
2026-05-22T06:14:18.701727+00:00,scheduler,1,0,376.8,10240.0,35,26.545
2026-05-22T06:14:18.701727+00:00,scheduler,2,0,400.8,10240.0,33,25.668
2026-05-22T06:14:18.701727+00:00,scheduler,3,0,400.8,10240.0,33,31.722
2026-05-22T06:14:23.702552+00:00,scheduler,0,0,621.9,10240.0,33,33.443
2026-05-22T06:14:23.702552+00:00,scheduler,1,0,376.8,10240.0,35,26.487
2026-05-22T06:14:23.702552+00:00,scheduler,2,0,400.8,10240.0,33,25.6
2026-05-22T06:14:23.702552+00:00,scheduler,3,0,400.8,10240.0,33,31.772
2026-05-22T06:14:28.703383+00:00,scheduler,0,0,621.9,10240.0,33,33.357
2026-05-22T06:14:28.703383+00:00,scheduler,1,0,376.8,10240.0,35,26.335
2026-05-22T06:14:28.703383+00:00,scheduler,2,0,400.8,10240.0,33,25.67
2026-05-22T06:14:28.703383+00:00,scheduler,3,0,400.8,10240.0,33,31.994
2026-05-22T06:14:33.704105+00:00,scheduler,0,0,621.9,10240.0,33,33.537
2026-05-22T06:14:33.704105+00:00,scheduler,1,0,376.8,10240.0,35,26.588
2026-05-22T06:14:33.704105+00:00,scheduler,2,0,400.8,10240.0,33,25.569
2026-05-22T06:14:33.704105+00:00,scheduler,3,0,400.8,10240.0,33,31.933
2026-05-22T06:14:38.704972+00:00,scheduler,0,11,4373.9,10240.0,36,103.531
2026-05-22T06:14:38.704972+00:00,scheduler,1,0,376.8,10240.0,35,26.439
2026-05-22T06:14:38.704972+00:00,scheduler,2,0,400.8,10240.0,33,25.542
2026-05-22T06:14:38.704972+00:00,scheduler,3,0,400.8,10240.0,33,31.786
2026-05-22T06:14:43.705550+00:00,scheduler,0,91,8717.9,10240.0,41,201.214
2026-05-22T06:14:43.705550+00:00,scheduler,1,0,376.8,10240.0,35,26.351
2026-05-22T06:14:43.705550+00:00,scheduler,2,0,400.8,10240.0,33,25.558
2026-05-22T06:14:43.705550+00:00,scheduler,3,0,400.8,10240.0,33,31.615
2026-05-22T06:14:48.706068+00:00,scheduler,0,12,8717.9,10240.0,37,104.05
2026-05-22T06:14:48.706068+00:00,scheduler,1,0,376.8,10240.0,35,26.552
2026-05-22T06:14:48.706068+00:00,scheduler,2,0,400.8,10240.0,33,25.655
2026-05-22T06:14:48.706068+00:00,scheduler,3,0,400.8,10240.0,33,31.829
2026-05-22T06:14:53.706633+00:00,scheduler,0,100,8447.9,10240.0,47,302.093
2026-05-22T06:14:53.706633+00:00,scheduler,1,0,376.8,10240.0,35,26.369
2026-05-22T06:14:53.706633+00:00,scheduler,2,0,400.8,10240.0,33,25.613
2026-05-22T06:14:53.706633+00:00,scheduler,3,0,400.8,10240.0,33,31.801
2026-05-22T06:14:58.707197+00:00,scheduler,0,100,8447.9,10240.0,49,317.465
2026-05-22T06:14:58.707197+00:00,scheduler,1,0,376.8,10240.0,35,25.639
2026-05-22T06:14:58.707197+00:00,scheduler,2,0,400.8,10240.0,33,25.993
2026-05-22T06:14:58.707197+00:00,scheduler,3,0,400.8,10240.0,33,32.235
2026-05-22T06:15:03.707746+00:00,scheduler,0,100,8447.9,10240.0,50,317.332
2026-05-22T06:15:03.707746+00:00,scheduler,1,0,376.8,10240.0,35,25.707
2026-05-22T06:15:03.707746+00:00,scheduler,2,0,400.8,10240.0,33,26.082
